Mes;Categoria;Voltaje;Grupo_consumo;Tipo_consumo;Tarifa;Clientes_BOL;MWh_BOL;FACT_BOL;Clientes_EOR;MWh_EOR;FACT_EOR;Clientes_ESM;MWh_ESM;FACT_ESM;Clientes_GYE;MWh_GYE;FACT_GYE;Clientes_GLR;MWh_GLR;FACT_GLR;Clientes_LRS;MWh_LRS;FACT_LRS;Clientes_MAN;MWh_MAN;FACT_MAN;Clientes_MLG;MWh_MLG;FACT_MLG;Clientes_STE;MWh_STE;FACT_STE;Clientes_STD;MWh_STD;FACT_STD;Clientes_SUC;MWh_SUC;FACT_SUC
Feb;General;Baja;Otros;Público;BTCGSD05 (BT / Entidades Oficiales);346;99,70;10.097,81;1.025;473,30;43.654,66;404;190,85;17.653,27;1.380;1.038,32;97.327,68;637;507,56;46.619,05;265;169,86;15.609,93;546;388,29;35.747,29;345;236,70;22.305,31;605;724,62;66.939,71;690;435,75;39.984,45;278;109,76;10.100,99
Feb;General;Baja;Otros;Público;BTCGCD07 (BT / Entidades Oficiales con Demanda);11;40,36;5.455,96;0;0,00;0,00;25;58,71;5.994,97;309;867,33;86.084,12;74;149,81;16.572,00;28;79,87;8.547,53;88;219,69;21.853,04;58;214,49;22.191,35;10;21,54;2.277,81;3;7,21;710,37;27;26,81;2.934,98
Feb;General;Baja;Otros;Público;BTCGCD35 (BT / Entidades Oficiales con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;2;3,05;330,27;0;0,00;0,00;0;0,00;0,00;8;94,43;8.405,91;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;219;886,36;85.825,29
Feb;General;Baja;Otros;Público;BTCGCD08 (BT / Escenarios Deportivos con Demanda);1;1,75;205,44;0;0,00;0,00;8;1,50;272,05;0;0,00;0,00;0;0,00;0,00;1;0,00;6,20;0;0,00;0,00;0;0,00;0,00;1;1,72;148,59;0;0,00;0,00;12;4,82;602,37
Feb;General;Baja;Industrial;Público;BTCGSD02 (BT / Industrial Artesanal);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Feb;General;Baja;Industrial;Público;BTCGCD02 (BT / Industrial con Demanda);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Feb;General;Baja;Industrial;Público;BTCGCD30 (BT / Industrial con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;2;4,12;379,29
Feb;Residencial;NO APLICA;Residencial;Público;REFACTRE (Residencial / Refacturaciones y Reliquidaciones);0;40,53;0,00;0;0,00;0,00;0;12,03;1.276,28;0;0,00;0,00;0;-0,18;-16,67;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;-0,03;25,78;0;0,00;0,00;0;0,00;0,00
Feb;General;Baja;Otros;Público;BTCGCD09 (BT / Otros con Demanda);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Feb;General;Baja;Otros;Público;BTCGCD37 (BT / Autoconsumo con Demana Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
