Mes;Categoria;Voltaje;Grupo_consumo;Tipo_consumo;Tarifa;Clientes_BOL;MWh_BOL;FACT_BOL;Clientes_EOR;MWh_EOR;FACT_EOR;Clientes_ESM;MWh_ESM;FACT_ESM;Clientes_GYE;MWh_GYE;FACT_GYE;Clientes_GLR;MWh_GLR;FACT_GLR;Clientes_LRS;MWh_LRS;FACT_LRS;Clientes_MAN;MWh_MAN;FACT_MAN;Clientes_MLG;MWh_MLG;FACT_MLG;Clientes_STE;MWh_STE;FACT_STE;Clientes_STD;MWh_STD;FACT_STD;Clientes_SUC;MWh_SUC;FACT_SUC
Ago;General;Baja;Otros;Público;BTCGSD11 (BT / Servicio Comunitario);0;0,00;0,00;3;0,29;27,65;5;0,48;46,32;18;7,73;731,02;10;12,79;1.187,24;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;1;0,00;1,41;1;0,00;1,41;0;0,00;0,00
Ago;General;Baja;Otros;Público;BTCGCD11 (BT / Servicio Comunitario con Demanda);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;8;17,18;1.730,80;2;0,37;133,17;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Ago;General;Baja;Otros;Público;BTCGCD36 (BT / Escenarios Deportivos con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;5;13,91;1.632,26
Ago;General;Baja;Otros;Público;BTCGCD39 (BT / Servicio Comunitario con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Ago;Residencial;Baja;Residencial;Público;BTCRSD01 (BT / Residencial);0;0,00;0,00;530;81,95;9.962,72;638;169,49;18.356,29;196;58,87;7.482,95;213;27,89;3.097,15;2;22,70;17,16;267;59,93;6.556,13;9;1,17;124,32;137;17,45;1.882,33;112;11,00;1.220,56;0;0,00;0,00
Ago;General;Baja;Otros;Público;BTCGCD41 (BT / Vehículos Eléctricos con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Ago;General;Media;Otros;Público;MTCGCD05 (MT / Abonados Especiales con Demanda);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Ago;General;Media;Otros;Público;MTCGCD06 (MT / Abonados Especiales con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Ago;General;Media;Otros;Público;MTCGCD07 (MT / Asistencia Social con Demanda);14;102,81;8.218,98;17;18,13;1.664,09;17;160,58;12.434,87;26;421,07;30.118,68;27;378,43;28.310,10;26;283,25;21.231,09;57;184,77;14.616,48;9;205,16;14.841,78;13;349,57;25.314,65;15;119,76;9.191,20;0;0,00;0,00
Ago;General;Media;Otros;Público;MTCGCD08 (MT / Asistencia Social con Demanda Horaria);0;0,00;0,00;37;1.546,79;104.319,44;8;863,20;56.038,91;20;6.177,79;374.711,67;4;497,70;33.102,71;3;458,59;31.116,82;33;2.377,78;158.997,78;1;364,00;23.686,61;0;0,00;0,00;10;19,46;-4.093,72;7;178,25;12.344,67
