Mes;Categoria;Voltaje;Grupo_consumo;Tipo_consumo;Tarifa;Clientes_BOL;MWh_BOL;FACT_BOL;Clientes_EOR;MWh_EOR;FACT_EOR;Clientes_ESM;MWh_ESM;FACT_ESM;Clientes_GYE;MWh_GYE;FACT_GYE;Clientes_GLR;MWh_GLR;FACT_GLR;Clientes_LRS;MWh_LRS;FACT_LRS;Clientes_MAN;MWh_MAN;FACT_MAN;Clientes_MLG;MWh_MLG;FACT_MLG;Clientes_STE;MWh_STE;FACT_STE;Clientes_STD;MWh_STD;FACT_STD;Clientes_SUC;MWh_SUC;FACT_SUC
Mzo;General;Baja;Otros;Público;BTCGSD05 (BT / Entidades Oficiales);346;107,97;10.072,36;1.008;530,79;48.955,20;399;222,86;20.585,14;1.388;1.020,47;95.725,21;637;519,79;52.609,47;276;217,81;20.045,45;554;466,77;41.902,61;345;310,01;28.865,09;606;828,24;76.566,08;690;480,87;44.173,33;297;152,02;13.969,43
Mzo;General;Baja;Otros;Público;BTCGCD07 (BT / Entidades Oficiales con Demanda);11;40,32;4.193,11;0;0,00;0,00;25;68,12;6.781,49;380;886,97;86.846,82;77;148,85;18.653,11;28;89,40;9.357,99;88;225,03;22.351,51;58;262,56;26.276,72;10;17,46;1.901,74;3;8,77;880,36;29;29,15;3.105,79
Mzo;General;Baja;Otros;Público;BTCGCD35 (BT / Entidades Oficiales con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;2;2,24;266,28;0;0,00;0,00;0;0,00;0,00;8;91,75;8.402,43;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;241;926,05;89.690,50
Mzo;General;Baja;Otros;Público;BTCGCD08 (BT / Escenarios Deportivos con Demanda);1;1,85;213,44;0;0,00;0,00;8;1,44;266,69;0;0,00;0,00;0;0,00;0,00;1;0,00;6,20;0;0,00;0,00;0;0,00;0,00;1;2,32;187,01;0;0,00;0,00;12;5,87;686,21
Mzo;General;Baja;Industrial;Público;BTCGSD02 (BT / Industrial Artesanal);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Mzo;General;Baja;Industrial;Público;BTCGCD02 (BT / Industrial con Demanda);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Mzo;General;Baja;Industrial;Público;BTCGCD30 (BT / Industrial con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;2;5,66;508,82
Mzo;Residencial;No aplica;Residencial;Público;REFACTRE (Residencial / Refacturaciones y Reliquidaciones);0;34,46;0,00;0;0,00;0,00;0;7,82;-93,11;0;0,00;0,00;0;0,00;21,63;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Mzo;General;Baja;Otros;Público;BTCGCD09 (BT / Otros con Demanda);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Mzo;General;Baja;Otros;Público;BTCGCD37 (BT / Autoconsumo con Demana Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Mzo;General;Baja;Otros;Público;BTCGCD38 (BT / Otros con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Mzo;General;Baja;Otros;Público;BTCGSD08 (BT / Otros);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Mzo;General;Baja;Otros;Público;BTCGSD12 (BT / Escenarios Deportivos);11;0,62;66,35;14;1,32;131,91;0;0,00;0,00;0;0,00;0,00;1;1,31;93,39;8;2,32;213,89;11;3,86;350,12;1;0,49;43,59;11;10,24;951,85;11;1,48;141,04;6;0,71;68,19
Mzo;Residencial;Baja;Residencial;Público;BTCRSD02 (BT / Residencial Temporal);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;6;0,19;33,00;0;0,00;0,00;0;0,00;0,00
Mzo;General;Baja;Otros;Público;BTCGSD13 (BT / Bombeo de Agua);16;2,93;251,03;1;0,00;1,48;3;2,41;197,24;1;3,11;272,73;0;0,00;0,00;7;5,16;424,47;14;11,89;985,96;31;31,01;2.554,38;5;5,03;408,51;28;30,49;2.518,31;0;0,00;0,00
Mzo;General;Baja;Otros;Público;BTCGCD12 (BT / Ocasional);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Mzo;General;Baja;Otros;Público;BTCGSD11 (BT / Servicio Comunitario);0;0,00;0,00;2;0,21;19,71;5;0,71;65,46;18;9,12;859,07;10;9,39;1.196,29;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;1;0,00;1,41;1;0,00;1,57;0;0,00;0,00
Mzo;General;Baja;Otros;Público;BTCGCD11 (BT / Servicio Comunitario con Demanda);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;8;16,67;1.692,52;2;0,50;143,49;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Mzo;General;Baja;Otros;Público;BTCGCD36 (BT / Escenarios Deportivos con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;5;12,40;1.599,41
Mzo;General;Baja;Otros;Público;BTCGCD39 (BT / Servicio Comunitario con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Mzo;Residencial;Baja;Residencial;Público;BTCRSD01 (BT / Residencial);0;0,00;0,00;57;12,91;1.370,70;678;160,12;16.823,41;190;53,83;6.158,44;216;29,60;3.483,84;2;0,22;23,60;270;60,24;1.814,41;9;1,64;184,19;146;25,02;2.655,65;109;13,68;1.470,21;0;0,00;0,00
Mzo;General;Baja;Otros;Público;BTCGCD41 (BT / Vehículos Eléctricos con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Mzo;General;Media;Otros;Público;MTCGCD05 (MT / Abonados Especiales con Demanda);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Mzo;General;Media;Otros;Público;MTCGCD06 (MT / Abonados Especiales con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Mzo;General;Media;Otros;Público;MTCGCD07 (MT / Asistencia Social con Demanda);14;115,50;8.550,55;18;18,36;1.512,54;17;154,70;11.928,42;27;441,51;31.647,17;25;321,91;24.282,02;27;291,79;21.809,74;38;126,28;10.234,57;9;228,67;16.658,00;13;434,08;31.034,40;15;126,26;9.614,98;0;0,00;0,00
Mzo;General;Media;Otros;Público;MTCGCD08 (MT / Asistencia Social con Demanda Horaria);0;0,00;0,00;34;1.423,19;96.271,47;8;797,25;51.982,06;19;6.226,65;377.297,72;3;67,98;4.615,89;3;451,79;30.241,46;18;539,01;37.717,38;1;404,60;26.887,20;0;0,00;0,00;9;542,41;36.748,19;7;196,68;13.500,09
Mzo;General;Media;Otros;Público;MTCGCD09 (MT / Beneficio Público con Demanda);35;85,33;6.544,20;41;42,82;3.271,63;55;270,05;22.099,07;57;1.059,88;76.206,46;64;381,70;32.083,48;27;58,86;5.294,08;123;132,30;13.061,87;14;345,74;27.239,95;20;72,68;5.864,83;34;151,88;11.792,61;0;0,00;0,00
Mzo;General;Media;Otros;Público;MTCGCD10 (MT / Beneficio Público con Demanda Horaria);0;0,00;0,00;43;233,03;18.729,52;4;3,07;522,40;21;1.657,62;105.141,53;5;587,03;33.505,39;1;32,95;2.277,79;19;601,86;44.054,99;0;0,00;0,00;0;0,00;0,00;3;37,26;2.840,66;10;124,21;8.556,99
Mzo;General;Media;Otros;Público;MTCGCD30 (MT / Bombeo de agua comunidades campesinas);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;2;0,42;18,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;2;8,53;342,60;0;0,00;0,00;0;0,00;0,00
Mzo;General;Media;Otros;Público;MTCGCD11 (MT / Bombeo de Agua con Demanda);0;0,00;0,00;2;0,11;62,28;43;198,09;20.586,53;0;0,00;0,00;180;1.249,65;102.935,13;67;977,98;76.048,02;27;33,26;3.529,19;31;841,66;59.705,48;7;40,42;3.080,53;35;255,46;20.695,77;0;0,00;0,00
Mzo;General;Media;Otros;Público;MTCGCD12 (MT / Bombeo de Agua con Demanda Horaria);0;0,00;0,00;1;42,78;2.824,84;4;358,71;25.943,82;0;0,00;0,00;8;58,17;5.546,20;1;0,00;5,99;29;393,68;31.235,75;0;0,00;0,00;7;1.715,66;118.484,40;0;0,00;0,00;3;32,98;2.575,80
Mzo;General;Media;Comercial;Público;MTCGCD01 (MT / Comercial con Demanda);0;0,00;0,00;5;5,49;542,60;6;15,95;1.898,85;6;76,82;8.253,77;10;71,78;8.356,03;4;5,50;768,64;16;34,36;4.227,81;6;55,87;6.316,26;0;0,00;0,00;2;7,31;806,40;0;0,00;0,00
Mzo;General;Media;Comercial;Público;MTCGCD02 (MT / Comercial con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;1;2,94;296,58;1;0,00;1,41;7;171,66;17.082,87;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Mzo;General;Media;Otros;Público;MTCGCD13 (MT / Entidades Oficiales Con Demanda);96;209,72;18.728,89;212;299,67;24.430,85;173;1.319,02;120.640,35;181;3.292,25;250.344,19;316;1.999,63;201.584,21;140;811,38;71.900,95;496;1.856,29;147.952,18;35;534,08;45.532,10;176;1.718,90;154.096,85;119;601,24;55.757,05;0;0,00;0,00
Mzo;General;Media;Otros;Público;MTCGCD14 (MT / Entidades Oficiales Con Demanda Horaria);0;0,00;0,00;154;2.166,51;175.006,94;12;440,60;37.431,07;128;7.344,06;501.511,84;9;167,03;15.467,92;6;144,43;11.032,36;121;3.002,07;202.326,25;1;143,06;11.025,15;2;251,12;19.491,13;39;1.942,75;148.717,93;30;1.214,92;96.951,52
Mzo;General;Media;Otros;Público;MTCGCD15 (MT / Escenarios Deportivos con Demanda);2;0,15;87,10;4;0,42;40,11;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;6;19,00;1.879,42;4;1,98;290,14;0;0,00;0,00;6;3,86;905,51;1;3,87;395,65;0;0,00;0,00
Mzo;General;Media;Otros;Público;MTCGCD16 (MT / Escenarios Deportivos con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;1;23,10;2.193,46;0;0,00;0,00;0;0,00;0,00;6;49,51;3.973,35;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Mzo;General;Media;Otros;Público;MTCGCD25 (MT / Estación de Carga Rápida con Demanda Horaria Diferenciada);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;4;75,76;4.657,33;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Mzo;General;Media;Otros;Público;MTCGCD31 (MT / Estacionales y Ocasionales);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Mzo;General;Media;Industrial;Público;MTCGCD03 (MT / Industrial con Demanda);0;0,00;0,00;0;0,00;0,00;1;1,77;446,42;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;5;275,70;38.184,09;0;0,00;0,00;0;0,00;0,00
Mzo;General;Media;Industrial;Público;MTCGCD32 (MT / Industrial con Demanda Horaria Diferenciada);0;0,00;0,00;0;0,00;0,00;2;152,21;12.932,23;0;0,00;0,00;0;0,00;0,00;1;0,00;5,99;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;1;100,80;8.591,61
Mzo;General;No aplica;Industrial;Público;REFACTIN (Industrial / Refacturaciones y Reliquidaciones);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Mzo;General;Media;Otros;Público;MTCGCD36 (MT / Autoconsumo con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
